"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2017;"AD";"Court";0,00263157894736841;0,0263157894736842;0,0526315789473684;0,0789473684210526;0,102631578947368;"Aquatique"
1989;"JUV";"Court";0,03375;0,0375;0,0416666666666667;0,0458333333333333;0,0495833333333333;"Aquatique"
1990;"JUV";"Court";0;0,00510204081632653;0,0210736468500444;0,0304347826086957;0,0422101449275362;"Aquatique"
1991;"JUV";"Court";0,00151515151515152;0,0151515151515152;0,0303030303030303;0,0818181818181818;0,128181818181818;"Aquatique"
1992;"JUV";"Court";0;0;0;0,0588235294117647;0,205882352941177;"Aquatique"
1993;"JUV";"Court";0;0,00641025641025641;0,0384615384615385;0,0628205128205128;0,0739583333333333;"Aquatique"
1994;"JUV";"Court";0,0658357771260997;0,0777126099706745;0,0909090909090909;0,136363636363636;0,177272727272727;"Aquatique"
1995;"JUV";"Court";0;0;0;0,0294117647058824;0,108823529411765;"Aquatique"
1996;"JUV";"Court";0;0;0;0,0454545454545455;0,0863636363636364;"Aquatique"
1997;"JUV";"Court";0,00125;0,0125;0,025;0,0375;0,04875;"Aquatique"
1998;"JUV";"Court";0,00185185185185185;0,0185185185185185;0,037037037037037;0,0385185185185185;0,0398518518518519;"Aquatique"
1999;"JUV";"Court";0,0230555555555556;0,0305555555555556;0,0388888888888889;0,0472222222222222;0,0547222222222222;"Aquatique"
2000;"JUV";"Court";0;0;0,00980392156862745;0,04437564499484;0,0861244019138756;"Aquatique"
2001;"JUV";"Court";0;0;0;0,0326086956521739;0,164525691699605;"Aquatique"
2002;"JUV";"Court";0;0;0;0,0341386554621849;0,0756868131868132;"Aquatique"
2003;"JUV";"Court";0;0;0;0,0106382978723404;0,121796140524493;"Aquatique"
2004;"JUV";"Court";0;0;0;0,0588235294117647;0,0783333333333333;"Aquatique"
2005;"JUV";"Court";0;0;0;0,00815217391304348;0,0653195488721804;"Aquatique"
2006;"JUV";"Court";0;0;0;0,0169491525423729;0,158333333333333;"Aquatique"
2007;"JUV";"Court";0;0;0,0155122655122655;0,0508658008658009;0,177673796791444;"Aquatique"
2008;"JUV";"Court";0;0;0;0,0555555555555556;0,0696832579185521;"Aquatique"
2009;"JUV";"Court";0;0;0,0178571428571429;0,0510135135135135;0,140416666666667;"Aquatique"
2010;"JUV";"Court";0;0;0;0,0204238329238329;0,128525641025641;"Aquatique"
2011;"JUV";"Court";0;0;0;0,0446428571428571;0,100681390977444;"Aquatique"
2012;"JUV";"Court";0;0;0;0,00219298245614035;0,0855263157894737;"Aquatique"
